,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Exp_Date,Current Date,Time to Maturity
0,SPXW191213C01950000,2019-12-04 10:47AM EST,1950,1164.0,1183.6,1189.8,0.0,-,1,9,161.62%,2019-12-13,2019-12-10,3
1,SPXW191213C02000000,2019-11-27 1:20PM EST,2000,1149.91,1133.6,1139.8,0.0,-,-,10,153.61%,2019-12-13,2019-12-10,3
2,SPXW191213C02200000,2019-12-06 3:12PM EST,2200,946.48,933.7,939.8,0.0,-,1,1,125.20%,2019-12-13,2019-12-10,3
3,SPXW191213C02480000,2019-11-18 12:03AM EST,2480,612.58,653.8,659.9,0.0,-,-,10,88.33%,2019-12-13,2019-12-10,3
4,SPXW191213C02500000,2019-10-30 10:22AM EST,2500,530.52,639.9,644.8,0.0,-,1,1,124.18%,2019-12-13,2019-12-10,3
5,SPXW191213C02525000,2019-12-06 9:54AM EST,2525,617.58,608.8,615.0,0.0,-,1,0,83.20%,2019-12-13,2019-12-10,3
6,SPXW191213C02580000,2019-11-18 12:03AM EST,2580,513.08,553.8,560.0,0.0,-,-,10,75.76%,2019-12-13,2019-12-10,3
7,SPXW191213C02630000,2019-11-27 10:22AM EST,2630,513.17,503.9,510.1,0.0,-,-,0,70.58%,2019-12-13,2019-12-10,3
8,SPXW191213C02670000,2019-11-20 1:45PM EST,2670,424.42,464.9,469.2,0.0,-,4,219,65.85%,2019-12-13,2019-12-10,3
9,SPXW191213C02700000,2019-12-06 9:50AM EST,2700,443.0,434.4,438.7,0.0,-,1,5,52.54%,2019-12-13,2019-12-10,3
10,SPXW191213C02750000,2019-11-27 3:48PM EST,2750,402.04,385.7,388.5,0.0,-,10,14,55.62%,2019-12-13,2019-12-10,3
11,SPXW191213C02760000,2019-11-27 10:03AM EST,2760,383.05,375.7,378.6,0.0,-,-,1,54.76%,2019-12-13,2019-12-10,3
12,SPXW191213C02800000,2019-11-27 1:20PM EST,2800,351.26,335.7,338.4,0.0,-,-,10,57.29%,2019-12-13,2019-12-10,3
13,SPXW191213C02810000,2019-12-06 2:18PM EST,2810,336.47,325.5,329.0,0.0,-,1,1,58.40%,2019-12-13,2019-12-10,3
14,SPXW191213C02815000,2019-12-03 10:08AM EST,2815,262.87,320.9,323.6,0.0,-,2,3,55.93%,2019-12-13,2019-12-10,3
15,SPXW191213C02820000,2019-11-18 12:03AM EST,2820,267.98,315.4,319.5,0.0,-,-,2,58.72%,2019-12-13,2019-12-10,3
16,SPXW191213C02835000,2019-10-14 2:58PM EST,2835,163.9,282.3,287.1,0.0,-,-,2,0.00%,2019-12-13,2019-12-10,3
17,SPXW191213C02840000,2019-12-09 12:12PM EST,2840,303.45,295.9,298.4,0.0,-,1,3,51.23%,2019-12-13,2019-12-10,3
18,SPXW191213C02850000,2019-11-27 10:55AM EST,2850,295.16,285.4,289.2,0.0,-,2,5,52.86%,2019-12-13,2019-12-10,3
19,SPXW191213C02860000,2019-11-20 2:56PM EST,2860,279.57,275.5,279.3,32.79,13.29%,3,5,51.62%,2019-12-13,2019-12-10,3
20,SPXW191213C02865000,2019-12-09 2:42PM EST,2865,274.72,270.9,273.6,0.0,-,2,7,48.25%,2019-12-13,2019-12-10,3
21,SPXW191213C02875000,2019-11-20 12:30PM EST,2875,240.84,261.1,263.6,0.0,-,1,1,46.72%,2019-12-13,2019-12-10,3
22,SPXW191213C02880000,2019-10-14 2:57PM EST,2880,128.8,239.6,242.3,0.0,-,-,5,0.00%,2019-12-13,2019-12-10,3
23,SPXW191213C02890000,2019-11-26 12:03PM EST,2890,195.69,245.5,249.3,0.0,-,1,1,46.82%,2019-12-13,2019-12-10,3
24,SPXW191213C02895000,2019-12-06 2:54PM EST,2895,252.38,240.5,244.3,0.0,-,3,328,46.02%,2019-12-13,2019-12-10,3
25,SPXW191213C02900000,2019-12-09 9:53AM EST,2900,247.56,235.5,239.3,0.0,-,3,6,45.22%,2019-12-13,2019-12-10,3
26,SPXW191213C02910000,2019-12-09 9:53AM EST,2910,237.6,225.4,228.8,0.0,-,3,19,42.00%,2019-12-13,2019-12-10,3
27,SPXW191213C02915000,2019-12-09 10:25AM EST,2915,232.73,221.2,223.7,0.0,-,6,0,40.88%,2019-12-13,2019-12-10,3
28,SPXW191213C02920000,2019-12-09 10:29AM EST,2920,227.45,215.8,219.0,0.0,-,21,16,41.08%,2019-12-13,2019-12-10,3
