,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Exp_Date,Current Date,Time to Maturity
0,SPXW191213P01500000,2019-10-15 10:09AM EST,1500.0,0.08,0.0,0.05,0.0,-,-,1,200.00%,2019-12-13,2019-12-10,3
1,SPXW191213P01600000,2019-10-13 11:12PM EST,1600.0,0.15,0.0,0.05,0.0,-,-,5,183.59%,2019-12-13,2019-12-10,3
2,SPXW191213P01700000,2019-10-18 12:44PM EST,1700.0,0.12,0.0,0.05,0.0,-,10,30,167.19%,2019-12-13,2019-12-10,3
3,SPXW191213P01750000,2019-10-21 11:46AM EST,1750.0,0.17,0.0,0.05,0.0,-,10,17,160.16%,2019-12-13,2019-12-10,3
4,SPXW191213P01800000,2019-10-16 1:28PM EST,1800.0,0.2,0.0,0.1,0.0,-,-,215,160.16%,2019-12-13,2019-12-10,3
5,SPXW191213P01850000,2019-11-12 2:38PM EST,1850.0,0.05,0.0,0.05,0.0,-,5,282,145.31%,2019-12-13,2019-12-10,3
6,SPXW191213P01900000,2019-10-15 9:12AM EST,1900.0,0.35,0.0,0.1,0.0,-,10,25,145.31%,2019-12-13,2019-12-10,3
7,SPXW191213P01950000,2019-11-25 10:17AM EST,1950.0,0.05,0.0,0.05,0.0,-,10,1015,131.25%,2019-12-13,2019-12-10,3
8,SPXW191213P02000000,2019-11-12 9:34AM EST,2000.0,0.05,0.05,0.05,0.0,-,30,581,131.25%,2019-12-13,2019-12-10,3
9,SPXW191213P02050000,2019-11-12 10:56AM EST,2050.0,0.05,0.0,0.05,0.0,-,1,1404,118.36%,2019-12-13,2019-12-10,3
10,SPXW191213P02100000,2019-11-22 1:06PM EST,2100.0,0.05,0.0,0.05,0.0,-,10,1173,111.72%,2019-12-13,2019-12-10,3
11,SPXW191213P02150000,2019-11-15 12:57PM EST,2150.0,0.05,0.0,0.05,0.0,-,60,4388,105.86%,2019-12-13,2019-12-10,3
12,SPXW191213P02175000,2019-11-18 12:39PM EST,2175.0,0.05,0.0,0.05,0.0,-,6,1018,102.73%,2019-12-13,2019-12-10,3
13,SPXW191213P02200000,2019-11-18 3:39PM EST,2200.0,0.05,0.0,0.05,0.0,-,2,387,99.61%,2019-12-13,2019-12-10,3
14,SPXW191213P02225000,2019-12-03 11:43AM EST,2225.0,0.05,0.0,0.05,0.0,-,2,837,96.88%,2019-12-13,2019-12-10,3
15,SPXW191213P02250000,2019-11-26 3:15PM EST,2250.0,0.07,0.0,0.05,0.0,-,2,76,93.75%,2019-12-13,2019-12-10,3
16,SPXW191213P02275000,2019-11-21 12:57PM EST,2275.0,0.05,0.0,0.05,0.0,-,17,549,90.63%,2019-12-13,2019-12-10,3
17,SPXW191213P02300000,2019-11-29 1:08PM EST,2300.0,0.05,0.0,0.05,0.0,-,5,3125,87.89%,2019-12-13,2019-12-10,3
18,SPXW191213P02325000,2019-12-09 4:03PM EST,2325.0,0.05,0.0,0.05,0.0,-,53,187,85.16%,2019-12-13,2019-12-10,3
19,SPXW191213P02350000,2019-12-09 4:06PM EST,2350.0,0.05,0.0,0.05,0.0,-,280,8286,82.03%,2019-12-13,2019-12-10,3
20,SPXW191213P02375000,2019-12-10 10:02AM EST,2375.0,0.05,0.0,0.05,0.0,-,6,6399,79.30%,2019-12-13,2019-12-10,3
21,SPXW191213P02380000,2019-12-06 3:18PM EST,2380.0,0.05,0.0,0.05,0.0,-,10,34,78.91%,2019-12-13,2019-12-10,3
22,SPXW191213P02390000,2019-12-09 3:44PM EST,2390.0,0.05,0.05,0.05,0.0,-,1,59,81.64%,2019-12-13,2019-12-10,3
23,SPXW191213P02400000,2019-12-09 3:36PM EST,2400.0,0.05,0.05,0.05,0.0,-,2,5752,80.47%,2019-12-13,2019-12-10,3
24,SPXW191213P02410000,2019-12-09 3:31PM EST,2410.0,0.08,0.05,0.05,0.0,-,1,198,79.30%,2019-12-13,2019-12-10,3
25,SPXW191213P02420000,2019-11-13 9:30AM EST,2420.0,0.05,0.0,0.05,-0.2,-80.00%,2,59,74.22%,2019-12-13,2019-12-10,3
26,SPXW191213P02425000,2019-12-09 2:00PM EST,2425.0,0.05,0.05,0.05,0.0,-,20,304,77.73%,2019-12-13,2019-12-10,3
27,SPXW191213P02430000,2019-11-13 9:30AM EST,2430.0,0.25,0.0,0.05,0.0,-,12,14,73.05%,2019-12-13,2019-12-10,3
28,SPXW191213P02440000,2019-12-05 2:58PM EST,2440.0,0.07,0.0,0.05,0.0,-,5,241,71.88%,2019-12-13,2019-12-10,3
29,SPXW191213P02450000,2019-12-09 2:23PM EST,2450.0,0.05,0.0,0.05,-0.05,-50.00%,2,4679,71.09%,2019-12-13,2019-12-10,3
30,SPXW191213P02460000,2019-12-10 10:04AM EST,2460.0,0.05,0.0,0.05,-0.2,-80.00%,4,111,69.92%,2019-12-13,2019-12-10,3
31,SPXW191213P02470000,2019-12-10 11:49AM EST,2470.0,0.05,0.0,0.05,0.0,-,21,200,68.75%,2019-12-13,2019-12-10,3
32,SPXW191213P02475000,2019-12-10 1:22PM EST,2475.0,0.05,0.0,0.05,-0.02,-28.57%,17,311,67.97%,2019-12-13,2019-12-10,3
33,SPXW191213P02480000,2019-12-10 3:18PM EST,2480.0,0.05,0.0,0.05,-0.05,-50.00%,21,679,67.58%,2019-12-13,2019-12-10,3
34,SPXW191213P02490000,2019-12-10 9:51AM EST,2490.0,0.05,0.0,0.05,-0.05,-50.00%,2,7717,66.41%,2019-12-13,2019-12-10,3
35,SPXW191213P02500000,2019-12-10 3:14PM EST,2500.0,0.05,0.0,0.05,-0.05,-50.00%,3626,18301,65.23%,2019-12-13,2019-12-10,3
